Pais,Sede,Red_social,URL
REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,EETIO,Instagram,https://www.instagram.com/embaargenetiopia/
REPÚBLICA  DOMINICANA,EDOMI,Facebook,https://es-la.facebook.com/ArgentinaEnRepublicaDominicana/
REPÚBLICA  FEDERAL  DE  ALEMANIA,CBONN,Facebook,https://www.facebook.com/ConsuladoArgentinoenBonn
REPÚBLICA  FEDERAL  DE  ALEMANIA,CBONN,Instagram,http://www.instagram.com/consulado.argentino.bonn
REPÚBLICA  FEDERAL  DE  ALEMANIA,EALEM,Facebook,https://www.facebook.com/ArgEnAlemania/
REPÚBLICA  FEDERAL  DE  NIGERIA,ENIGE,Facebook,https://www.facebook.com/ArgentinaEnNigeria/
REPÚBLICA  FEDERAL  DE  NIGERIA,ENIGE,Instagram,https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,Facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,Instagram,https://www.instagram.com/argenportoalegre/
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,Twitter,https://twitter.com/ArgPortoAlegre
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,Facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,Instagram,https://www.instagram.com/consgralbelo/
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,Twitter,https://twitter.com/consgralbelo
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,Facebook,https://www.facebook.com/ArgEnCuritiba/
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,Instagram,https://instagram.com/argEncuritiba
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,Twitter,https://twitter.com/ARGenCuri
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFDIG,Facebook,https://www.facebook.com/ArgentinaEnFozDeIguazu
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFDIG,Instagram,https://www.instagram.com/argentinaenfoz/
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFDIG,Twitter,https://twitter.com/argentinaenfoz
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CFLOR,Facebook,https://www.facebook.com/cflor.mrecic.gov.ar
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CRECI,Facebook,https://www.facebook.com/ArgentinaEnBrasilRecife
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CRECI,Instagram,https://www.instagram.com/consuladoargentinorecife
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CRIOJ,Facebook,https://www.facebook.com/ArgentinaEnRiodeJaneiro/
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CSBAH,Facebook,https://www.facebook.com/ArgentinaenSalvador
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CSBAH,Instagram,https://www.instagram.com/argentinaensalvador
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CSBAH,Twitter,https://twitter.com/ArgentinaEnSSA
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CURUG,Facebook,https://www.facebook.com/ArgEnUruguayana/
REPÚBLICA  FEDERATIVA  DEL  BRASIL,CURUG,Twitter,https://twitter.com/CURUGoK
REPÚBLICA  FEDERATIVA  DEL  BRASIL,EBRAS,Facebook,https://www.facebook.com/embargbrasil
