id_sede,nom_sede,codigo_pais
ENIGE,Embajada  en  Nigeria,NGA
ENORU,Embajada  en  Noruega,NOR
ENZEL,Embajada  en  Nueva  Zelandia,NZL
EOIRS,Misión  Permanente  ante  los  Organismos  Internacionales  en  Ginebra,CHE
EPAKI,Embajada  en  Pakistán,PAK
EPARA,Embajada  en  Paraguay,PRY
EPBAJ,Embajada  en  Holanda,NLD
EPERU,Embajada  en  Perú,PER
EPNMA,Embajada  en  Panamá,PAN
EPOLO,Embajada  en  Polonia,POL
EPORT,Embajada  en  Portugal,PRT
EQATR,Embajada  en  Qatar,QAT
ERICA,Embajada  en  Costa  Rica,CRI
ERUMA,Embajada  en  Rumania,ROU
ERUNI,Embajada  en  Reino  Unido,GBR
ESAFR,Embajada  en  Sudáfrica,ZAF
ESALV,Embajada  en  El  Salvador,SLV
ESENE,Embajada  en  Senegal,SEN
ESERB,Embajada  en  Serbia,SRB
ESING,Embajada  en  Singapur,SGP
ESSED,Representación  ante  la  Santa  Sede,VAT
ESUEC,Embajada  en  Suecia,SWE
ESUIZ,Embajada  en  Suiza,CHE
ESURI,Embajada  en  Surinam,SUR
ETAIL,Embajada  en  Tailandia,THA
ETRIA,Embajada  en  Austria,AUT
ETRIN,Embajada  en  Trinidad  y  Tobago,TTO
ETUNE,Embajada  en  Túnez,TUN
ETURQ,Embajada  en  Türkiye,TUR
EUCRA,Embajada  en  Ucrania,UKR
EUNES,"Delegación  Permanente  ante  la  Organización  de  las  Naciones  Unidas  para  la  Educación, la  Ciencia  y  la  Cultura",FRA
EUNGR,Embajada  en  Hungría,HUN
EURUG,Embajada  en  Uruguay,URY
EVENE,Embajada  en  Venezuela,VEN
EVIET,Embajada  en  Vietnam,VNM
OCCAT,Oficina  Comercial  y  Cultural  Argentina  en  Taiwán,CHN
REPAL,Oficina  de  Representación  en  el  Estado  de  Palestina,PSE
