id_sede,url
CALEG,https://twitter.com/ArgPortoAlegre
CALEG,https://www.facebook.com/ArgentinaEnPortoAlegre/
CALEG,https://www.instagram.com/argenportoalegre/
CANTO,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/
CAREN,https://www.facebook.com/profile.php?id=100014152878593
CBELO,https://www.facebook.com/ArgentinaEnBeloHorizonte/
CBELO,https://twitter.com/consgralbelo
CBELO,https://www.instagram.com/consgralbelo/
CBONN,https://www.facebook.com/ConsuladoArgentinoenBonn
CBONN,http://www.instagram.com/consulado.argentino.bonn
CCEST,https://www.facebook.com/ArgEnCiudaddeleste/
CCEST,https://www.instagram.com/argenciudaddeleste
CCHIC,https://twitter.com/argenchicago
CCHIC,https://www.facebook.com/ArgentinaEnChicago
CCHIC,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
CCOLO,https://www.facebook.com/ArgentinaenColonia
CCURI,https://www.facebook.com/ArgEnCuritiba/
CCURI,https://instagram.com/argEncuritiba
CCURI,https://twitter.com/ARGenCuri
CFDIG,https://twitter.com/argentinaenfoz
CFDIG,https://www.facebook.com/ArgentinaEnFozDeIguazu
CFDIG,https://www.instagram.com/argentinaenfoz/
CFLOR,https://www.facebook.com/cflor.mrecic.gov.ar
CGMUM,https://www.facebook.com/argenmumbai
CGMUM,https://www.instagram.com/argenmumbai
CGMUM,https://twitter.com/cgmum1
CGTEL,https://www.facebook.com/ArgentinaEnIsrael/
CHOUS,https://www.facebook.com/ArgentinaEnHouston/
CLANG,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel  
CLOND,https://www.instagram.com/consuladoargentinoenlondres/
CMADR,https://www.facebook.com/ArgentinaEnMadridEsp/
CMALD,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal
CMALD,https://www.instagram.com/consulado_argentino/
CMALL,https://www.facebook.com/ArgentinaEnPalmaDeMallorca
CMDEO,https://www.facebook.com/ArgentinaEnMontevideo/
CMIAM,https://es-la.facebook.com/consuladoargentino.miami/
CMILA,https://www.facebook.com/ConsuladoArgentinoenMilan
CMILA,https://www.instagram.com/consuladoargentinoenmilan/
CMILA,https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ
CNYOR,https://www.facebook.com/ARGenNewYork
CNYOR,https://twitter.com/ARGenNewYork
CNYOR,https://www.instagram.com/argennewyork/
CNYOR,https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg
CPMON,https://www.facebook.com/ArgentinaEnPuertoMontt/
CRECI,https://www.facebook.com/ArgentinaEnBrasilRecife
CRECI,https://www.instagram.com/consuladoargentinorecife
CRIOJ,https://www.facebook.com/ArgentinaEnRiodeJaneiro/
CSBAH,https://www.instagram.com/argentinaensalvador
CSBAH,https://www.facebook.com/ArgentinaenSalvador
CSBAH,https://twitter.com/ArgentinaEnSSA
CSIDN,https://www.facebook.com/ArgentinaEnSidney/
CTORO,https://www.facebook.com/ArgentinaEnToronto/
CTORO,https://www.instagram.com/consuladoargtoronto/
CURUG,https://www.facebook.com/ArgEnUruguayana/
CURUG,https://twitter.com/CURUGoK
CVALP,https://www.facebook.com/ArgentinaEnValparaiso
CVIGO,https://www.instagram.com/argenvigo/
CVILL,https://www.facebook.com/ArgEnVillazon
EALEM,https://www.facebook.com/ArgEnAlemania/
EANGO,https://www.facebook.com/ArgentinaEnAngola/
EANGO,https://www.instagram.com/embargentinaenangola/
EARAB,https://www.facebook.com/argentinaenarabiasaudita/
EARAB,https://twitter.com/ensaudita
EARAB,https://www.instagram.com/arginsaudi/
EARGE,https://twitter.com/ARGenArgelia
EARGE,https://instagram.com/argenargelia
EARME,https://www.instagram.com/arginarmenia/
EARME,https://www.facebook.com/ArgentinaEnArmenia
EARME,https://twitter.com/ARGinArmenia
EASIR,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495
EAUST,https://www.facebook.com/ArgentinaEnAustralia/
EAUST,https://twitter.com/ARGinAustralia
EAZER,https://www.facebook.com/EmbassyOfArgentina/
EBARB,https://www.facebook.com/ArgentinaEnBarbados/
EBELG,https://www.facebook.com/ArgentinaEnBelgica/
EBELG,https://www.instagram.com/argenbelgica/
EBRAS,https://www.instagram.com/embaargenbrasil
EBRAS,https://twitter.com/ArgentinaEnBras
EBRAS,https://www.facebook.com/embargbrasil
EBULG,https://www.facebook.com/ArgentinaEnBulgaria/
EBULG,https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow
ECANA,https://www.facebook.com/ArgentinaInCanada
ECANA,https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A
ECANA,https://twitter.com/ArginCanada
ECANA,https://www.instagram.com/argentinaincanada/
ECANA,https://www.linkedin.com/company/argentinaincanada
ECEUR,https://www.facebook.com/ARGanteUE
ECEUR,https://www.linkedin.com/company/arganteue
ECEUR,https://twitter.com/ARGanteUE
ECEUR,https://www.youtube.com/@ARGanteUE
ECEUR,https://www.flickr.com/people/197084220@N02/
ECHES,https://www.facebook.com/ArgentinaEnRepCheca/
ECHES,https://www.instagram.com/argentinaenpraga
ECOLO,https://www.facebook.com/ArgColombia/?ref=bookmarks
ECORE,https://www.facebook.com/ArgentinaEnCorea/
ECORE,https://www.instagram.com/embajadaargentinaencorea1/?hl=es
ECUBA,https://www.facebook.com/ArgentinaEnCubaLaHabana/
EDINA,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/
EDOMI,https://es-la.facebook.com/ArgentinaEnRepublicaDominicana/
EEARB,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos
EECUA,https://www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks
EECUA,https://instagram.com/argentinaenecuador?igshid=1pzlw4ojakxjh
EECUA,https://www.youtube.com/channel/UC7FnoaJNif8jQLyBb4QDKng
EEEUU,https://twitter.com/ARGinUSA
EEEUU,https://www.facebook.com/ARGinUSA/
EEEUU,https://www.instagram.com/ARGinUSA/
EEEUU,https://www.flickr.com/photos/ARGinUSA/
EEEUU,https://www.youtube.com/ARGinUSA
EESPA,https://twitter.com/ARGenesp
EESPA,https://www.facebook.com/argenespa/
EESPA,https://www.instagram.com/argenespa/
EETIO,https://www.facebook.com/ArgEnEtiopia/
EETIO,https://www.instagram.com/embaargenetiopia/
EFILI,https://www.facebook.com/ArgentinaEnFilipinas
EFILI,https://www.instagram.com/argentinaenfilipinas/
EFILI,https://twitter.com/ArgentinaEnFili
EFRAN,https://www.facebook.com/ArgentinaEnFrancia/
EFRUS,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU
EFRUS,https://twitter.com/EmbArgRusia
EGREC,https://www.facebook.com/ArgentinaEnGrecia
EGREC,https://www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured
EHILE,https://twitter.com/EmbArgEnChile
EHILE,https://www.facebook.com/EmbArgentinaEnChile
EHILE,https://www.instagram.com/embargenchile/
EINDI,https://twitter.com/ArgentinaEnInd
EINDI,https://www.facebook.com/ArgentinaEnInd
EINDI,https://www.instagram.com/argentinaenind/
EIRLA,https://www.facebook.com/ArgentinaEnIrlanda/
EIRLA,https://www.instagram.com/embajadaargentinairlanda
EISRA,https://www.facebook.com/ArgEnIsrael
EISRA,https://twitter.com/argenisrael
EITAL,https://es-la.facebook.com/emb.roma/
EITAL,https://twitter.com/arginitalia?lang=es
EITAL,https://www.instagram.com/arginitalia/?hl=es
EJAMA,https://www.facebook.com/ArgentinaEnJamaica/
